gameId,summonerId,seasonId,gameVersion,gameMode,gameType,queueId,teamId,gameDuration,win,participantId,role,tier,rank,kills,deaths,assists,championId,minionsKilled,champLevel,wardsPlaced,goldEarned,goldSpent,visionScore,totalDamageDealt,largestMultiKill,teamFirstBlood,teamFirstTowerKill,teamFirstInhibitor,teamFirstBaron,teamFirstDragon,teamFirstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
3235158507,jpoJ2bZukzIeMW1UZKpzF9_PjM-qbg-SbI_16ehc6BPbSP4,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,1421,True,7,JUNGLE,GOLD,I,8,2,8,56,50,14,7,10820,8625,16,158775,2,False,True,True,False,False,True,10,2,0,3,1
3235158507,wsY5RZbcFxxJ75UCIR5pn0r5qitfC9kzh423jodjIqjE5zg,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,1421,True,8,BOTTOM,PLATINUM,IV,13,5,9,523,114,13,7,12023,10600,14,105104,2,False,True,True,False,False,True,10,2,0,3,1
3235158507,Qz-IEcc6h-jWTtU3b3HVieHpFj1Hw-2cwhuvyHGV8zYbzyk,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,1421,True,9,BOTTOM,PLATINUM,IV,6,3,20,99,14,12,22,9052,7725,44,23497,2,False,True,True,False,False,True,10,2,0,3,1
3235158507,Ao5p0z_1E1oLyBVlK93EHoTvK5gQlwIRbLK-PYx0xIonXdU,13,9.24.300.6382,CLASSIC,MATCHED_GAME,430,200,1421,True,10,TOP,UNRANKED,N/A,6,4,9,17,135,14,3,10506,10400,7,90393,1,False,True,True,False,False,True,10,2,0,3,1
3235301535,1-sF5MHRyXyBelueLt7_4d_s89UOmWLhh1AHLu65_Mxii0ox,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,100,1751,False,1,TOP,GOLD,IV,12,4,2,86,178,16,7,14129,13575,12,131815,2,True,False,False,False,False,False,1,0,0,1,0
3235301535,B1giOWziG8niQjqXCKzA0iQ2OpMCFy0sMRBER8byUvPgAUnA,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,100,1751,False,2,MIDDLE,PLATINUM,IV,2,7,5,268,175,14,8,8986,8435,18,137328,1,True,False,False,False,False,False,1,0,0,1,0
3235301535,WLo8qwimXk8C9KGohmpkbl1r7VArbOU8_nv6R2hVXQMaYfs,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,100,1751,False,3,JUNGLE,GOLD,III,4,9,6,5,36,13,9,8777,8433,20,118183,1,True,False,False,False,False,False,1,0,0,1,0
3235301535,wsY5RZbcFxxJ75UCIR5pn0r5qitfC9kzh423jodjIqjE5zg,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,100,1751,False,4,BOTTOM,PLATINUM,IV,5,7,7,81,151,13,6,9430,8825,12,97161,2,True,False,False,False,False,False,1,0,0,1,0
3235301535,2J_svtxt_3ppEXceY0_aTamQAOOT2mMBqONzVTtDkGgLmX4,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,100,1751,False,5,BOTTOM,GOLD,I,0,3,11,427,33,12,24,6051,5175,40,25113,0,True,False,False,False,False,False,1,0,0,1,0
3235301535,Xas23Jv2F-nrFE3eC8OWtmzrTN1do2QXsZdx_NFI2aJh5T4,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,200,1751,True,6,JUNGLE,GOLD,III,11,4,7,104,66,16,5,14275,13675,17,207467,2,False,True,True,True,True,False,11,3,1,3,0
